gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,72.00,72.00,74.00
female,group C,some college,standard,completed,69.00,90.00,88.00
female,group B,master's degree,standard,none,90.00,95.00,93.00
male,group A,associate's degree,free/reduced,none,47.00,57.00,44.00
male,group C,some college,standard,none,76.00,78.00,75.00
female,group B,associate's degree,standard,none,71.00,83.00,78.00
female,group B,some college,standard,completed,88.00,95.00,92.00
male,group B,some college,free/reduced,none,40.00,43.00,39.00
male,group D,high school,free/reduced,completed,64.00,64.00,67.00
female,group B,high school,free/reduced,none,38.00,60.00,50.00
male,group C,associate's degree,standard,none,58.00,54.00,52.00
male,group D,associate's degree,standard,none,40.00,52.00,43.00
female,group B,high school,standard,none,65.00,81.00,73.00
male,group A,some college,standard,completed,78.00,72.00,70.00
female,group A,master's degree,standard,none,50.00,53.00,58.00
female,group C,some high school,standard,none,69.00,75.00,78.00
male,group C,high school,standard,none,88.00,89.00,86.00
female,group B,some high school,free/reduced,none,18.00,32.00,28.00
male,group C,master's degree,free/reduced,completed,46.00,42.00,46.00
female,group C,associate's degree,free/reduced,none,54.00,58.00,61.00
male,group D,high school,standard,none,66.00,69.00,63.00
female,group B,some college,free/reduced,completed,65.00,75.00,70.00
male,group D,some college,standard,none,44.00,54.00,53.00
female,group C,some high school,standard,none,69.00,73.00,73.00
male,group D,bachelor's degree,free/reduced,completed,74.00,71.00,80.00
male,group A,master's degree,free/reduced,none,73.00,74.00,72.00
male,group B,some college,standard,none,69.00,54.00,55.00
female,group C,bachelor's degree,standard,none,67.00,69.00,75.00
male,group C,high school,standard,none,70.00,70.00,65.00
female,group D,master's degree,standard,none,62.00,70.00,75.00
female,group D,some college,standard,none,69.00,74.00,74.00
female,group B,some college,standard,none,63.00,65.00,61.00
female,group E,master's degree,free/reduced,none,56.00,72.00,65.00
male,group D,some college,standard,none,40.00,42.00,38.00
male,group E,some college,standard,none,97.00,87.00,82.00
male,group E,associate's degree,standard,completed,81.00,81.00,79.00
female,group D,associate's degree,standard,none,74.00,81.00,83.00
female,group D,some high school,free/reduced,none,50.00,64.00,59.00
female,group D,associate's degree,free/reduced,completed,75.00,90.00,88.00
male,group B,associate's degree,free/reduced,none,57.00,56.00,57.00
male,group C,associate's degree,free/reduced,none,55.00,61.00,54.00
